"","employees","salary_2017","salary_adjustments","salary_2018","got_raise"
"1","Employee 1",46557.5262112543,-4360.72324635461,42196.8029648997,FALSE
"2","Employee 2",47050.7176988758,-3811.48415966891,43239.2335392069,FALSE
"3","Employee 3",42360.899692867,5151.16811031476,47512.0678031817,TRUE
"4","Employee 4",49086.6196597926,5483.36491803639,54569.984577829,TRUE
"5","Employee 5",43146.1655464955,5675.49458122812,48821.6601277236,TRUE
"6","Employee 6",42526.867617853,-2678.82975749671,39848.0378603563,FALSE
"7","Employee 7",49161.1592262052,9425.81009701826,58586.9693232235,TRUE
"8","Employee 8",46590.1125897653,4928.50413429551,51518.6167240608,TRUE
"9","Employee 9",45451.0489059612,951.963342959061,46403.0122489203,TRUE
"10","Employee 10",43334.9852426909,7065.15114055946,50400.1363832504,TRUE
"11","Employee 11",49828.2716213726,32.1997399441898,49860.4713613167,TRUE
"12","Employee 12",49420.164108742,-4631.97286124341,44788.1912474986,FALSE
"13","Employee 13",44787.4456760474,4393.09746143408,49180.5431374814,TRUE
"14","Employee 14",46704.2537149973,6224.36651960015,52928.6202345975,TRUE
"15","Employee 15",44660.2666331455,5102.87387180142,49763.1405049469,TRUE
"16","Employee 16",43210.8961232007,-3901.73399006017,39309.1621331405,FALSE
"17","Employee 17",45110.6006721966,-1102.22872695886,44008.3719452377,FALSE
"18","Employee 18",42055.5026549846,9388.49146128632,51443.9941162709,TRUE
"19","Employee 19",49810.1397464052,-864.803349832073,48945.3363965731,FALSE
"20","Employee 20",42515.4147529975,6938.43811750412,49453.8528705016,TRUE
"21","Employee 21",44267.3561815172,-3512.49469211325,40754.861489404,FALSE
"22","Employee 22",40124.0222994238,9088.02893711254,49212.0512365364,TRUE
"23","Employee 23",41307.8545918688,-2005.68326632492,39302.1713255439,FALSE
"24","Employee 24",43758.4706465714,-3244.62898424827,40513.8416623231,FALSE
"25","Employee 25",44777.0869522355,3930.77232292853,48707.8592751641,TRUE
"26","Employee 26",46827.7241894975,-1963.34433509037,44864.3798544072,FALSE
"27","Employee 27",44488.9481505379,8143.72143824585,52632.6695887838,TRUE
"28","Employee 28",45416.6910680942,-1916.97312169708,43499.7179463971,FALSE
"29","Employee 29",46393.5012812726,4905.26764770038,51298.768928973,TRUE
"30","Employee 30",42615.0992815383,3285.1452648174,45900.2445463557,TRUE
"31","Employee 31",40372.1313551068,-4193.90160823241,36178.2297468744,FALSE
"32","Employee 32",41741.5525135584,5607.28672891855,47348.839242477,TRUE
"33","Employee 33",48147.3989388905,-1296.34178942069,46851.0571494699,FALSE
"34","Employee 34",49392.0968519524,6805.47439493239,56197.5712468848,TRUE
"35","Employee 35",40970.288971439,464.349010726437,41434.6379821654,TRUE
"36","Employee 36",42925.5838948302,-2921.95141664706,40003.6324781831,FALSE
"37","Employee 37",41940.8592581749,4474.76783418097,46415.6270923559,TRUE
"38","Employee 38",43271.6719433665,7278.1872714404,50549.8592148069,TRUE
"39","Employee 39",48567.8171296604,5880.29665872455,54448.1137883849,TRUE
"40","Employee 40",47627.3095747456,-1009.82727250084,46617.4823022448,FALSE
"41","Employee 41",44122.3276103847,5669.47036772035,49791.797978105,TRUE
"42","Employee 42",49778.7780337967,-1209.96347279288,48568.8145610038,FALSE
"43","Employee 43",48225.6767945364,6014.03077598661,54239.707570523,TRUE
"44","Employee 44",48501.0219318792,9616.17324966937,58117.1951815486,TRUE
"45","Employee 45",47058.7267703377,-2838.56312395073,44220.1636463869,FALSE
"46","Employee 46",49988.8247763738,6033.97719096392,56022.8019673377,TRUE
"47","Employee 47",48745.4758794047,4318.86575534008,53064.3416347448,TRUE
"48","Employee 48",42562.3471988365,5303.23943239637,47865.5866312329,TRUE
"49","Employee 49",42163.9034734108,-3540.49797402695,38623.4054993838,FALSE
"50","Employee 50",42899.4084591977,6678.62316826358,49578.0316274613,TRUE
"51","Employee 51",47343.8663990237,-4525.60488600284,42818.2615130208,FALSE
"52","Employee 52",40661.9557878003,6745.56241603568,47407.5182038359,TRUE
"53","Employee 53",48972.0273809507,5760.19463827834,54732.2220192291,TRUE
"54","Employee 54",46666.3828422315,-536.218244815245,46130.1645974163,FALSE
"55","Employee 55",48330.9113630094,-3382.24193197675,44948.6694310326,FALSE
"56","Employee 56",45662.0201584883,-1472.44893130846,44189.5712271798,FALSE
"57","Employee 57",49484.2094904743,-4742.56369518116,44741.6457952932,FALSE
"58","Employee 58",44382.0481561124,5207.93975680135,49589.9879129138,TRUE
"59","Employee 59",41629.6576522291,7896.14932728,49525.8069795091,TRUE
"60","Employee 60",43117.4784270115,6292.64763672836,49410.1260637399,TRUE
"61","Employee 61",46854.8400513828,-3201.05995982885,43653.7800915539,FALSE
"62","Employee 62",40588.5106814094,6694.05966531485,47282.5703467242,TRUE
"63","Employee 63",43278.3490489237,1271.78232884035,44550.131377764,TRUE
"64","Employee 64",45459.8103137687,9.41241858527064,45469.222732354,TRUE
"65","Employee 65",41632.7745537274,3452.39961170591,45085.1741654333,TRUE
"66","Employee 66",48143.5875315219,1430.02032535151,49573.6078568734,TRUE
"67","Employee 67",45801.3876271434,-2813.00120055676,42988.3864265867,FALSE
"68","Employee 68",42196.6139762662,-4390.78422961757,37805.8297466487,FALSE
"69","Employee 69",43952.3085649125,3838.53323990479,47790.8418048173,TRUE
"70","Employee 70",41667.8562713787,-2267.89017324336,39399.9660981353,FALSE
"71","Employee 71",47137.0043070056,3982.62172122486,51119.6260282304,TRUE
"72","Employee 72",48488.4440433234,4650.76508931816,53139.2091326416,TRUE
"73","Employee 73",45937.9619872198,9801.41920852475,55739.3811957445,TRUE
"74","Employee 74",41806.034760084,222.543921554461,42028.5786816385,TRUE
"75","Employee 75",46440.3257449158,273.227742873132,46713.5534877889,TRUE
"76","Employee 76",49963.2650800049,7609.85569795594,57573.1207779609,TRUE
"77","Employee 77",42235.7987100258,3366.86106049456,45602.6597705204,TRUE
"78","Employee 78",48359.0817265213,7121.03507015854,55480.1167966798,TRUE
"79","Employee 79",46426.5926904045,1768.86910223402,48195.4617926385,TRUE
"80","Employee 80",41432.8021160327,1139.98918095604,42572.7912969887,TRUE
"81","Employee 81",47079.0565642528,-143.416795181111,46935.6397690717,FALSE
"82","Employee 82",42925.2315475605,-2667.72136790678,40257.5101796538,FALSE
"83","Employee 83",41807.6272122562,-1094.32770055719,40713.299511699,FALSE
"84","Employee 84",42187.1081134304,4953.57066625729,47140.6787796877,TRUE
"85","Employee 85",41154.0829786099,3664.71575805917,44818.7987366691,TRUE
"86","Employee 86",43514.6205150522,9557.06727458164,53071.6877896339,TRUE
"87","Employee 87",42867.619683966,4440.87116979063,47308.4908537567,TRUE
"88","Employee 88",40003.5466859117,5823.68284347467,45827.2295293864,TRUE
"89","Employee 89",40757.3054987006,-4360.86672358215,36396.4387751184,FALSE
"90","Employee 90",48724.5708797127,-390.354682458565,48334.2161972541,FALSE
"91","Employee 91",42529.2673544027,383.442313177511,42912.7096675802,TRUE
"92","Employee 92",42902.2499010898,9229.43416866474,52131.6840697546,TRUE
"93","Employee 93",40135.850997176,1995.44470990077,42131.2957070768,TRUE
"94","Employee 94",49421.8726293184,-2811.57977646217,46610.2928528562,FALSE
"95","Employee 95",42302.087363787,9848.36066374555,52150.4480275325,TRUE
"96","Employee 96",45176.7154061235,3682.27196857333,48858.9873746969,TRUE
"97","Employee 97",42471.6245918535,-2452.50538690016,40019.1192049533,FALSE
"98","Employee 98",48589.8978984915,5462.87091332488,54052.7688118163,TRUE
"99","Employee 99",49035.0420842879,9731.72820638865,58766.7702906765,TRUE
"100","Employee 100",40547.2199944779,-1670.17153813504,38877.0484563429,FALSE
